method,gamma,return,volatility
OSQP,2.515309383014299,0.3379640825538322,0.29719239550694226
OSQP,2.5950998598759716,0.33796433156514144,0.29719276059257416
OSQP,2.677421444934833,0.337964588475571,0.297193137259631
OSQP,2.7623544298366736,0.337957349001558,0.29718252324523386
OSQP,2.849981653233537,0.3379573841299871,0.2971825747477007
OSQP,2.940388581579667,0.33795742065433854,0.29718262829675446
OSQP,3.0336633924904794,0.3379574583373081,0.29718268354450167
OSQP,3.129897060745848,0.33795749721566765,0.2971827405448259
OSQP,3.2291834470215512,0.3379575373273217,0.2971827993533135
OSQP,3.3316193894354806,0.3379575787113918,0.29718286002732264
OSQP,3.437304797997856,0.33795762140824637,0.29718292262603774
OSQP,3.546342752057603,0.3379576654595234,0.29718298721050684
OSQP,3.658839600839884,0.3379577109081997,0.29718305384373167
OSQP,3.7749050671729045,0.3379577577985928,0.2971831225906954
OSQP,3.8946523545051352,0.337957806176432,0.2971831935184504
OSQP,4.018198257317296,0.33795785608892714,0.29718326669618345
OSQP,4.14566327503685,0.3379579075847262,0.29718334219525966
OSQP,4.277171729566093,0.33796414231202326,0.2971924896835222
OSQP,4.412851886538418,0.33796042481638305,0.2971870443696786
OSQP,4.552836080421112,0.3379605587450612,0.29718724109198713
OSQP,4.697260843586617,0.3379606959741669,0.29718744266715047
OSQP,4.84626703947823,0.3379608375566259,0.29718765063698765
OSQP,5.0,0.33796098363034865,0.2971878652040928
CLARABEL,0.01,0.19194341923571503,0.14801281528878904
CLARABEL,0.010317219334529941,0.19227196340264802,0.14803536267779835
CLARABEL,0.010644501479679849,0.19261092974171032,0.1480593594789422
CLARABEL,0.01098216564725855,0.19296064882564246,0.1480848986042959
CLARABEL,0.01133054117509065,0.19332146170500886,0.14811207888722813
CLARABEL,0.011689967848233283,0.19369372023719486,0.1481410054550211
CLARABEL,0.01206079623038258,0.19407778742442686,0.14817179012423898
CLARABEL,0.012443388005792904,0.19447403775950486,0.14820455182002137
CLARABEL,0.012838116332042453,0.19488285757544135,0.14823941702029744
CLARABEL,0.013245366203989306,0.1953046453888944,0.1482765202253277
CLARABEL,0.013665534829272791,0.19573981221177272,0.14831600445137103
CLARABEL,0.014099032015726563,0.19618878176776391,0.14835802174315985
CLARABEL,0.014546280571081073,0.1966519904584948,0.14840273368956267
CLARABEL,0.015007716715345489,0.19712988666881406,0.14845031189851685
CLARABEL,0.015483790506271073,0.19762292795325528,0.14850093827411873
CLARABEL,0.015974966278311103,0.1981315677331808,0.14855480418170622
CLARABEL,0.016481723095505524,0.19865616744207523,0.14861210123580113
CLARABEL,0.017004555218731825,0.19919635979420813,0.14867294759504548
CLARABEL,0.017543972587778206,0.19974785640192838,0.14873699959928102
CLARABEL,0.01810050131870886,0.20029988158016343,0.148803092199703
CLARABEL,0.018674684217006774,0.2008521946211253,0.14887129237389868
CLARABEL,0.019267081306994352,0.20141605716275568,0.1489431166338177
CLARABEL,0.019878270378048252,0.20199677232985574,0.1490194054718163
CLARABEL,0.02050884754814132,0.20259574458518156,0.14910054850313048
CLARABEL,0.02115942784526107,0.2032136792178752,0.14918686818620247
CLARABEL,0.021830645807271874,0.20385120302856857,0.14927869482886386
CLARABEL,0.022523156100806047,0.20450894524339958,0.14937637712046245
CLARABEL,0.023237634159787215,0.2051875504569101,0.14948028475243724
CLARABEL,0.02397477684420902,0.20588768253498238,0.14959081008420744
CLARABEL,0.0247353031198114,0.2066100274522103,0.1497083698217799
CLARABEL,0.025519954759317696,0.20735530175581965,0.1498334078907137
CLARABEL,0.026329497065916203,0.20812432142285459,0.1499664097536511
CLARABEL,0.027164719619692,0.20892028356408032,0.1501083279843185
CLARABEL,0.028026437047737128,0.20979096104797668,0.1502684192253696
CLARABEL,0.028915489818689973,0.21076864647407328,0.15045356140717872
CLARABEL,0.029832745062479196,0.21178549184069317,0.15065195626449454
CLARABEL,0.0307790974160713,0.21283475134889046,0.1508628829818464
CLARABEL,0.031755469896047134,0.21391723118348402,0.1510870672746112
CLARABEL,0.03276281479885812,0.21502876086935183,0.1513241961959796
CLARABEL,0.033802114629640265,0.216046434336948,0.15154764973744816
CLARABEL,0.03487438306049219,0.2169999254399566,0.15176352146121522
CLARABEL,0.03598066591915137,0.21798159093231287,0.15199250656185173
CLARABEL,0.03712204220903312,0.21899435194257857,0.15223586152162036
CLARABEL,0.0382996251616273,0.22003923279990695,0.15249447254110698
CLARABEL,0.03951456332227906,0.22111725689608938,0.1527692695420821
CLARABEL,0.040768041670412536,0.22222947646777105,0.15306123483372489
CLARABEL,0.042061282775290254,0.22337697579748933,0.15337140616140024
CLARABEL,0.043395547988435576,0.2245608718486298,0.15370087924351317
CLARABEL,0.04477213867388096,0.22578231227610013,0.1540508096267849
CLARABEL,0.04619239747744206,0.22704246099337547,0.15442241077260327
CLARABEL,0.04765770963625571,0.2283423871388224,0.15481692180603326
CLARABEL,0.04916950432985915,0.2296793495193539,0.15523441811199032
CLARABEL,0.05072925607412767,0.23065060629300896,0.15554646521594712
CLARABEL,0.05233848615943104,0.23161350308864642,0.1558650997531753
CLARABEL,0.053998764134410966,0.23260115527125363,0.15620161434327837
CLARABEL,0.055711709336826704,0.23361880245054437,0.15655857706796097
CLARABEL,0.057478992472962065,0.23466852208462363,0.15693758531106275
CLARABEL,0.05930233724713452,0.2357515011957137,0.15734000470508666
CLARABEL,0.061183522042895164,0.23686882176535948,0.15776722806084792
CLARABEL,0.06312438165755971,0.23802157825088185,0.15822071582463448
CLARABEL,0.06512680909176222,0.2392108946086978,0.1587020041346544
CLARABEL,0.06719275739577694,0.24043792780203138,0.15921270858334174
CLARABEL,0.069324241574409,0.2417038688219041,0.15975452713130425
CLARABEL,0.07152334055231169,0.24300994275624305,0.16032924259572767
CLARABEL,0.07379219920164795,0.24435740858207547,0.1609387249254932
CLARABEL,0.07613303043407274,0.24574755870143242,0.16158493330092524
CLARABEL,0.07854811735907721,0.24718171670431183,0.1622699172969786
CLARABEL,0.08103981551079979,0.24866121901844837,0.16299580980017225
CLARABEL,0.08361055514547634,0.25018845459957645,0.16376533000281565
CLARABEL,0.08626284361176907,0.2517617651971433,0.16457929004240868
CLARABEL,0.08899926779628765,0.25335947845104656,0.1654277558405092
CLARABEL,0.09182249664668668,0.2550001145776115,0.1663220158341398
CLARABEL,0.0947352837748007,0.25669349086977183,0.1672690031798745
CLARABEL,0.09774047014235544,0.2584404072379107,0.1682710760828041
CLARABEL,0.10084098683187565,0.2602426749445097,0.16933118418896384
CLARABEL,0.10403985790549065,0.2621020855564954,0.1704523579038554
CLARABEL,0.1073402033544276,0.2640204666079221,0.17163773788886033
CLARABEL,0.11074524214206764,0.2659996955220311,0.17289058283100373
CLARABEL,0.11425829534353403,0.2680417055279022,0.17421427277914894
CLARABEL,0.11788278938487422,0.2701484886042081,0.17561231057903318
CLARABEL,0.12162225938499452,0.2723220926867534,0.17708831937134828
CLARABEL,0.12548035260360815,0.27456451811997484,0.1786459708377232
CLARABEL,0.12946083199855804,0.2768779717430536,0.18028913854652273
CLARABEL,0.13356757989598556,0.2792476437197595,0.18200944759531143
CLARABEL,0.13780460177692355,0.28128850267232086,0.18352411046185288
CLARABEL,0.14217603018400746,0.28331526642303123,0.18506329205121574
CLARABEL,0.1466861287521155,0.2850842119367468,0.18643872012200763
CLARABEL,0.15133929636686744,0.2869079688903189,0.1878907171146221
CLARABEL,0.15614007145504014,0.28878955864361955,0.18942405185114372
CLARABEL,0.16109313641108275,0.2907306092367366,0.19104253828133463
CLARABEL,0.1662033221640492,0.2927336672162392,0.1927506902964351
CLARABEL,0.1714756128894038,0.29425720532908745,0.19407716300462802
CLARABEL,0.17691515087029286,0.2953289189217613,0.19503673596813587
CLARABEL,0.1825272415130268,0.2964348254264532,0.19605313978786854
CLARABEL,0.1883173585216616,0.29757575604460523,0.19712924578546498
CLARABEL,0.19429114923672938,0.2987528653361044,0.19826827873842418
CLARABEL,0.20045444014332275,0.2999673054199613,0.19947356839449942
CLARABEL,0.2068132425539064,0.3012202225959426,0.20074854292186672
CLARABEL,0.21337375847139947,0.3025120746841048,0.20209598793386918
CLARABEL,0.22014238663824442,0.3032050658675342,0.20283567258456853
CLARABEL,0.22712572877736611,0.3037461137544426,0.20343128784035439
CLARABEL,0.23433059603110462,0.30430389705341354,0.20406293104555256
CLARABEL,0.24176401560440375,0.30487935726185134,0.20473312545307065
CLARABEL,0.2494332376187354,0.3054730687627045,0.20544410850892103
CLARABEL,0.2573457421834418,0.3060856126282017,0.20619821974618355
CLARABEL,0.2655092466913963,0.30671758691146345,0.20699791442207513
CLARABEL,0.2739317133460955,0.30736960836141225,0.20784576861978324
CLARABEL,0.282621356927525,0.30804231301703405,0.20874448324198114
CLARABEL,0.29158665280437496,0.30873635705463004,0.2096968880510977
