sampler,return,volatility,sharpe,effective_n
dirichlet_alpha1,0.19964929123204295,0.1878975409360936,1.0625433959241983,11.121980114282009
dirichlet_alpha1,0.16762271635124049,0.18650684390044087,0.8987483399843444,7.835436273740159
dirichlet_alpha1,0.21056010163762584,0.21093212326684227,0.998236296949679,8.83968335822823
dirichlet_alpha1,0.20262671680327893,0.18808985000529205,1.0772868222159668,7.69099917400341
dirichlet_alpha1,0.19090735127655484,0.16741904361995477,1.1402965107716125,15.506305926039262
dirichlet_alpha1,0.1761838577248253,0.1664594761139605,1.058418912746111,12.153303961591115
dirichlet_alpha1,0.21398348655599667,0.1905538814896854,1.1229552758681511,10.304518811418866
dirichlet_alpha1,0.20387827294717184,0.17408856788667226,1.171118100528531,9.600470651515304
dirichlet_alpha1,0.19406694418096254,0.17394390001734822,1.115686978167141,9.229699159614174
dirichlet_alpha1,0.20583900730147314,0.17220301176524003,1.1953275682662752,15.995794787706334
dirichlet_alpha1,0.20649137884436358,0.1896789977688879,1.088635965358487,10.727767210999556
dirichlet_alpha1,0.2196044835208797,0.203324690898483,1.0800679570713079,8.27676956677973
dirichlet_alpha1,0.19361866121124494,0.1712373376426337,1.1307035245742973,11.91115021379434
dirichlet_alpha1,0.21002549350675515,0.18293215383238187,1.1481059458754228,11.696122741336252
dirichlet_alpha1,0.18501388596272894,0.18258485024165505,1.0133035994928332,9.57125020790231
dirichlet_alpha1,0.19319113406780763,0.18043375971770148,1.0707039213175282,11.751383760828466
dirichlet_alpha1,0.2054981943548508,0.1910469402684238,1.075642426233693,12.075687051052682
dirichlet_alpha1,0.18846143120405218,0.17988779880070244,1.0476610001373603,12.573187346220195
dirichlet_alpha1,0.18203324623601494,0.18750713289926232,0.9708070483580579,10.41860453637011
dirichlet_alpha1,0.19804660315561856,0.18497995169584344,1.0706382034376363,11.895669553274722
dirichlet_alpha1,0.20096523176532008,0.17667520282335453,1.1374840869222123,11.259735874476139
dirichlet_alpha1,0.21097943145151332,0.20702420574651306,1.019105136477824,10.014732235707774
dirichlet_alpha1,0.17542737283238682,0.17340542705115947,1.0116602220334825,8.77960512021194
dirichlet_alpha1,0.1987122897759515,0.19626701337872274,1.012458927025655,10.98357624824605
dirichlet_alpha1,0.18606049269353525,0.17556319016189778,1.0597921609988816,10.505084910148824
dirichlet_alpha1,0.18203996029475128,0.18067176893009387,1.0075728010677019,8.824076449040934
dirichlet_alpha1,0.1706740043766819,0.17516337584732838,0.9743703759479984,10.642192189323342
dirichlet_alpha1,0.20383757055085666,0.17149788627748588,1.188571911732164,11.188960472820623
dirichlet_alpha1,0.2166627687683722,0.18354139482888637,1.1804572421952253,11.400031004962882
dirichlet_alpha1,0.2157789164853145,0.1879597375646566,1.148006053217053,11.098468336267572
dirichlet_alpha1,0.22610683448172356,0.18042478117345956,1.2531916791648785,8.025121108756366
dirichlet_alpha1,0.19873086203858403,0.18823512718010263,1.0557586408855513,10.105970153743232
dirichlet_alpha1,0.19643991165438907,0.18103313661698148,1.0851047235070796,10.471019773691314
dirichlet_alpha1,0.19438522821600157,0.184234186748034,1.055098576692775,12.31487494244049
dirichlet_alpha1,0.2186846498257177,0.1832428543034013,1.1934143388949523,10.137914671882838
dirichlet_alpha1,0.18005241866522825,0.18350040723920955,0.981209913232037,10.311379701877325
dirichlet_alpha1,0.17661583440403913,0.1692836098495056,1.0433132573262818,8.948309447133907
dirichlet_alpha1,0.18131433729065366,0.19316708700622354,0.9386399106635179,8.746578035601392
dirichlet_alpha1,0.21836898271037006,0.1758281784034541,1.2419453166903778,13.216635547302237
dirichlet_alpha1,0.19722901043187757,0.19724715189467562,0.999908026743992,10.783594155371631
dirichlet_alpha1,0.2175341420240046,0.19364587416245582,1.1233605826350224,12.07528555582818
dirichlet_alpha1,0.2177636481094277,0.18254556026861282,1.1929276603002124,11.59375252847986
dirichlet_alpha1,0.18686056109307128,0.20140318956903827,0.9277934549741479,6.947594979607945
dirichlet_alpha1,0.22051446063129893,0.18697932415069093,1.179352110897466,10.796875314924776
dirichlet_alpha1,0.16384208968197161,0.16838842964466386,0.9730008767687542,11.009687502696526
dirichlet_alpha1,0.22023898367337513,0.17149503015114506,1.284229539942179,13.45141892213745
dirichlet_alpha1,0.1696102737875337,0.17006137287456216,0.9973474335799866,10.272542948977339
dirichlet_alpha1,0.19131717842866555,0.17239802945414878,1.1097410975892188,14.04346892348025
dirichlet_alpha1,0.1849359222092494,0.18926319106184886,0.977136236431809,10.030836714469993
dirichlet_alpha1,0.22723606932168727,0.184479342859523,1.2317697244548544,9.630498791760974
dirichlet_alpha1,0.19004465846847152,0.16977822789485636,1.1193700206728872,13.093941037109014
dirichlet_alpha1,0.1841839631328496,0.17773633248081314,1.036276379522642,9.997666850132829
dirichlet_alpha1,0.17191004857714087,0.18495692084189785,0.9294599401559592,9.9970214040848
dirichlet_alpha1,0.18808929132964508,0.1823447993177729,1.0315034595632269,13.386309354254323
dirichlet_alpha1,0.1985555989616734,0.17399547483347905,1.141153809613149,14.409137064314706
dirichlet_alpha1,0.19118843916897954,0.181626806658204,1.0526443903667215,10.954637954042822
dirichlet_alpha1,0.21769292794708073,0.18114697080100503,1.2017475477755708,9.94246197394911
dirichlet_alpha1,0.19281701334557477,0.18013513157133204,1.0704020457509744,11.750151529201899
dirichlet_alpha1,0.2225030736084845,0.2069068775405807,1.075377852361843,9.884245463494956
dirichlet_alpha1,0.20396588130290175,0.17277646004583883,1.180518927455674,11.751787010748087
dirichlet_alpha1,0.20820487084659473,0.16589401597422612,1.2550475050223762,10.047309206666746
dirichlet_alpha1,0.2127033365511245,0.18953705826823844,1.12222558741046,8.605528187669263
dirichlet_alpha1,0.2210169507560358,0.18826402114140517,1.1739733880964431,10.489503937228575
dirichlet_alpha1,0.22661525171172278,0.16666614115109113,1.3596957975182542,10.073658756002088
dirichlet_alpha1,0.1752234621844474,0.17551420652971972,0.9983434711581419,10.036155101822596
dirichlet_alpha1,0.21546146408638675,0.18588587071238266,1.1591061938202167,12.210081715421397
dirichlet_alpha1,0.20949119479015038,0.18022401298659782,1.162393353241607,11.121213416028521
dirichlet_alpha1,0.1887504552095412,0.15858989624945477,1.190179574319446,10.750011788355522
dirichlet_alpha1,0.2031424166635996,0.17519857374692394,1.159498118729213,12.762262259785876
dirichlet_alpha1,0.20631203397626482,0.1698098135626914,1.2149594281257328,9.024261221454323
dirichlet_alpha1,0.18378457520038233,0.1821133930356961,1.0091766022082662,8.637050366967465
dirichlet_alpha1,0.23560201288807225,0.19101042169781413,1.2334510902279654,10.638625795869874
dirichlet_alpha1,0.20558983131997707,0.1973641214633477,1.0416778378746867,12.018207857090522
dirichlet_alpha1,0.19010910517894067,0.17181810877476697,1.106455579883905,11.92515239220596
dirichlet_alpha1,0.21237335799828697,0.2005972582515041,1.058705187944385,11.38565678031836
dirichlet_alpha1,0.20804293351847386,0.18169017501027418,1.1450422869960333,11.992997800437633
dirichlet_alpha1,0.19116307842223984,0.16652887457060492,1.1479275225702106,5.131202960344926
dirichlet_alpha1,0.18265327084846206,0.17983119884859483,1.0156928943249899,11.451108679568874
dirichlet_alpha1,0.20976893286313025,0.18095026752097465,1.1592629054213204,12.22523139453941
dirichlet_alpha1,0.21877996468257546,0.17442074510558628,1.2543230712042661,11.50971022647218
dirichlet_alpha1,0.22594849593414323,0.19168409468194691,1.1787545352109143,10.72680933018979
dirichlet_alpha1,0.18539992273436284,0.18436333983735703,1.0056225001018113,9.809358338845739
dirichlet_alpha1,0.19264153869787035,0.1708252221197377,1.1277113315435399,8.372170126914746
dirichlet_alpha1,0.22717199044520514,0.1866064768700962,1.2173853461868214,10.066109043079289
dirichlet_alpha1,0.19552366839664898,0.1779979906082475,1.0984599754666524,13.239630225229904
dirichlet_alpha1,0.1949151249066786,0.1678572217708834,1.1611959428991852,15.62317571690717
dirichlet_alpha1,0.1962177141962402,0.18964130593147335,1.034678142678174,6.965173593180563
dirichlet_alpha1,0.20357071099029536,0.16788727201628356,1.2125440394942555,12.482215911494938
dirichlet_alpha1,0.19891398385952042,0.17511598207889298,1.1358985142195988,13.169990395581351
dirichlet_alpha1,0.20516143232299416,0.17959928264626576,1.1423287960847537,8.946624637005735
dirichlet_alpha1,0.1786476856739785,0.1760355431306579,1.0148387223220132,6.729153509245522
dirichlet_alpha1,0.2006904772432035,0.18321888545931436,1.0953591205409274,10.01571932417508
dirichlet_alpha1,0.21200455315891598,0.18322976932688198,1.1570420785756694,13.616603839396676
dirichlet_alpha1,0.21486732574353395,0.2132816499575268,1.0074346564100707,10.021869520043843
dirichlet_alpha1,0.19996040311557467,0.17553770186730788,1.1391308020354987,13.832964606567407
dirichlet_alpha1,0.19964458949924946,0.18342885132877898,1.0884034221061838,10.275880648807727
dirichlet_alpha1,0.19734091604444332,0.18666261872268206,1.0572064047683034,10.825406157092223
