sampler,target_volatility,mc_return,mc_volatility,frontier_return,frontier_volatility,return_gap,mc_sharpe,frontier_sharpe
tilted,0.2320741596306608,0.31317722040585955,0.22312035612424796,0.3216478133227225,0.2320741596306608,0.008470592916862973,1.4036245990547902,1.3859699582004974
tilted,0.25278578548208686,0.31777374600872527,0.24979066917812953,0.3282626761874684,0.25278578548208686,0.010488930178743139,1.2721601933902342,1.2985804386169888
tilted,0.27349741133351285,0.31777374600872527,0.24979066917812953,0.33297068591589596,0.27349741133351285,0.015196939907170692,1.2721601933902342,1.2174546160872404
tilted,0.2942090371849389,0.31777374600872527,0.24979066917812953,0.33717489308252585,0.2942090371849389,0.019401147073800584,1.2721601933902342,1.1460385320202748
mixed,0.14922765622495665,,,0.20321518914753503,0.14922765622495665,,,1.3617796746817068
mixed,0.16993928207638268,0.2558748078681967,0.1693483246379799,0.2600528685540004,0.16993928207638268,0.004178060685803675,1.5109379346691891,1.5302693137017864
mixed,0.19065090792780873,0.2864425023795585,0.18992375622604657,0.2901019557394582,0.19065090792780873,0.0036594533598997003,1.5081973317684159,1.521639518492654
mixed,0.21136253377923475,0.3024350016829203,0.21123996560431188,0.30945716904914616,0.21136253377923475,0.007022167366225851,1.4317129848876804,1.4641060717618473
mixed,0.2320741596306608,0.3213005292873246,0.23117959382638195,0.3216478133227225,0.2320741596306608,0.0003472840353979101,1.3898308409029576,1.3859699582004974
mixed,0.25278578548208686,0.3278688011406867,0.2504079324315148,0.3282626761874684,0.25278578548208686,0.0003938750467816776,1.309338717655668,1.2985804386169888
mixed,0.27349741133351285,0.33283331496594787,0.2712654135241404,0.33297068591589596,0.27349741133351285,0.00013737094994809018,1.2269655413933866,1.2174546160872404
mixed,0.2942090371849389,0.33683506126320245,0.2940747308910741,0.33717489308252585,0.2942090371849389,0.00033983181932339956,1.1454063402270591,1.1460385320202748
